547.2±11.7,563.3±20.3,601.8±65.5,616.1±74.2,0.0±0.0,0.1±0.3,0.1±0.3,0.4±0.6,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
1294.8±775,1179.8±729,1941.5±938,1789.3±758,0.0±0.0,0.0±0.0,0.2±0.4,0.8±1.3,0.2±0.4,0.1±0.3,0.4±0.5,0.3±0.4
1364.4±826,1146.5±633,2065.6±949,1807.2±774,0.0±0.0,0.0±0.0,0.2±0.4,0.4±0.6,0.2±0.4,0.1±0.3,0.5±0.5,0.3±0.4
971.8±22.5,953.8±55.0,986.1±75.0,1044.7±411,0.0±0.2,0.1±0.3,0.4±0.5,0.9±0.7,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.2
958.9±80.2,1009.9±150,1178.9±423,1615.8±612,0.0±0.0,0.0±0.0,0.1±0.2,0.4±0.6,0.0±0.0,0.0±0.0,0.0±0.2,0.1±0.3
