391.031±156.962,550.551±378.554,524.8±317.882,654.823±412.594,622.271±414.203,639.152±391.428,0.05±0.218,0.07±0.255,0.12±0.431,0.18±0.456,0.2±0.529,0.35±0.779,0.03±0.171,0.22±0.414,0.1±0.3,0.21±0.407,0.41±0.492,0.54±0.498
392.845±156.623,541.62±373.097,509.156±286.698,659.0±430.12,584.466±394.268,648.449±402.028,0.07±0.324,0.1±0.3,0.2±0.566,0.23±0.545,0.2±0.566,0.32±0.705,0.03±0.171,0.21±0.407,0.1±0.3,0.22±0.414,0.42±0.494,0.51±0.5
391.598±156.119,540.75±371.095,504.876±286.097,677.101±440.797,592.621±398.882,631.739±394.987,0.06±0.276,0.13±0.336,0.21±0.588,0.22±0.558,0.17±0.567,0.42±0.862,0.03±0.171,0.2±0.4,0.11±0.313,0.21±0.407,0.42±0.494,0.54±0.498
388.536±154.128,548.312±374.482,502.899±285.919,664.225±425.396,566.561±371.733,649.467±415.475,0.08±0.337,0.09±0.286,0.14±0.4,0.22±0.558,0.18±0.498,0.32±0.705,0.03±0.171,0.2±0.4,0.11±0.313,0.2±0.4,0.43±0.495,0.55±0.497
432.06±275.883,490.562±340.766,448.37±228.991,476.597±283.33,469.038±236.457,477.902±273.23,0.08±0.271,0.25±0.517,0.25±0.589,0.4±0.693,0.41±0.68,0.58±0.815,0.16±0.367,0.36±0.48,0.19±0.392,0.33±0.47,0.48±0.5,0.59±0.492
427.602±266.962,469.516±320.863,467.976±269.036,479.0±316.754,493.788±296.345,483.936±266.898,0.1±0.332,0.26±0.502,0.3±0.7,0.42±0.724,0.4±0.8,0.61±0.926,0.17±0.376,0.38±0.485,0.18±0.384,0.34±0.474,0.48±0.5,0.53±0.499
433.964±272.137,456.6±300.411,490.469±319.605,480.969±319.055,472.88±240.01,456.457±261.674,0.13±0.365,0.25±0.497,0.36±0.794,0.39±0.631,0.47±0.888,0.58±0.885,0.17±0.376,0.4±0.49,0.19±0.392,0.35±0.477,0.5±0.5,0.54±0.498
430.518±266.267,454.148±295.424,453.162±257.281,487.104±322.51,458.938±222.367,510.622±291.279,0.12±0.354,0.26±0.502,0.32±0.691,0.41±0.68,0.51±1.025,0.62±0.903,0.17±0.376,0.39±0.488,0.2±0.4,0.33±0.47,0.52±0.5,0.55±0.497
