500.368±232.435,577.021±271.96,657.411±359.635,665.037±338.25,708.726±340.517,659.508±361.648,0.06±0.276,0.05±0.218,0.12±0.407,0.12±0.354,0.26±0.577,0.38±0.69,0.05±0.218,0.05±0.218,0.1±0.3,0.18±0.384,0.27±0.444,0.35±0.477
506.235±237.4,549.0±258.088,641.079±344.569,644.333±318.017,701.811±336.003,652.812±355.978,0.03±0.171,0.08±0.306,0.06±0.237,0.11±0.343,0.22±0.576,0.3±0.656,0.02±0.14,0.06±0.237,0.11±0.313,0.19±0.392,0.26±0.439,0.36±0.48
515.551±271.193,547.147±256.605,633.089±341.596,645.451±321.65,686.123±331.018,652.908±378.758,0.02±0.14,0.05±0.218,0.09±0.286,0.14±0.4,0.23±0.614,0.27±0.598,0.02±0.14,0.05±0.218,0.1±0.3,0.18±0.384,0.27±0.444,0.35±0.477
515.222±269.907,558.495±267.011,602.656±301.122,639.951±319.652,690.571±329.83,653.077±376.52,0.01±0.099,0.04±0.196,0.05±0.218,0.13±0.391,0.29±0.653,0.22±0.521,0.01±0.099,0.05±0.218,0.1±0.3,0.18±0.384,0.23±0.421,0.35±0.477
554.775±340.307,574.531±353.832,610.286±379.193,598.714±348.043,663.206±390.01,644.562±418.022,0.12±0.354,0.13±0.365,0.37±0.611,0.59±0.85,0.72±1.105,0.93±1.168,0.2±0.4,0.19±0.392,0.23±0.421,0.23±0.421,0.32±0.466,0.36±0.48
560.402±365.824,569.298±356.661,614.286±397.139,583.974±338.245,630.028±355.412,611.06±386.821,0.1±0.332,0.17±0.401,0.37±0.643,0.58±0.851,0.55±0.942,0.84±1.056,0.18±0.384,0.16±0.367,0.23±0.421,0.22±0.414,0.29±0.454,0.33±0.47
560.805±368.346,582.388±372.912,609.218±381.441,581.714±338.147,674.583±410.318,657.884±419.596,0.1±0.332,0.17±0.401,0.36±0.625,0.57±0.863,0.59±0.971,0.79±0.931,0.18±0.384,0.15±0.357,0.22±0.414,0.23±0.421,0.28±0.449,0.31±0.462
558.778±367.42,583.279±356.951,598.571±374.691,582.564±328.855,604.157±355.846,651.029±409.039,0.1±0.332,0.17±0.401,0.39±0.631,0.52±0.768,0.63±0.945,0.79±0.852,0.19±0.392,0.14±0.347,0.23±0.421,0.22±0.414,0.3±0.458,0.31±0.462
