442.3±210.526,488.5±271.842,561.209±295.267,800.596±411.78,870.716±407.638,853.169±382.273,0.18±0.477,0.29±0.683,0.67±1.372,1.15±1.717,1.96±2.289,1.95±2.233,0.0±0.0,0.0±0.0,0.09±0.286,0.06±0.237,0.19±0.392,0.11±0.313
431.74±198.855,484.87±266.645,577.86±350.299,712.032±370.369,842.506±441.47,834.879±421.142,0.21±0.553,0.21±0.454,0.67±1.517,0.8±1.192,1.73±2.039,2.02±2.683,0.0±0.0,0.0±0.0,0.07±0.255,0.05±0.218,0.15±0.357,0.09±0.286
428.99±198.726,486.85±267.688,551.247±321.142,752.958±397.074,840.694±447.346,825.088±422.156,0.15±0.456,0.29±0.621,0.5±1.145,0.81±1.247,1.92±2.576,1.64±2.076,0.0±0.0,0.0±0.0,0.07±0.255,0.04±0.196,0.15±0.357,0.09±0.286
423.16±193.958,479.26±265.322,551.247±340.297,756.379±417.524,825.59±439.689,815.839±430.603,0.11±0.371,0.26±0.673,0.44±0.993,0.82±1.445,1.66±2.089,1.68±2.116,0.0±0.0,0.0±0.0,0.07±0.255,0.05±0.218,0.17±0.376,0.07±0.255
410.065±212.839,426.713±226.906,469.043±279.173,583.928±322.885,756.187±424.133,751.352±407.791,0.26±0.594,0.47±0.818,0.81±1.405,1.41±1.619,2.49±2.621,2.52±2.998,0.08±0.271,0.06±0.237,0.07±0.255,0.03±0.171,0.09±0.286,0.09±0.286
397.659±194.349,431.208±234.557,447.13±250.329,520.022±271.137,711.398±388.287,682.287±389.477,0.3±0.714,0.48±0.954,0.72±1.209,1.24±1.443,1.9±1.83,1.9±2.1,0.09±0.286,0.04±0.196,0.08±0.271,0.07±0.255,0.07±0.255,0.06±0.237
393.326±198.689,421.979±220.334,452.567±262.437,520.915±267.192,680.154±399.627,726.076±427.701,0.26±0.642,0.41±0.694,0.69±1.083,1.35±1.558,2.13±2.292,2.04±2.181,0.08±0.271,0.05±0.218,0.1±0.3,0.06±0.237,0.09±0.286,0.08±0.271
378.378±146.237,432.979±249.049,450.967±284.628,526.283±287.517,695.544±436.055,684.16±423.46,0.28±0.665,0.45±0.753,0.65±1.023,1.26±1.494,2.01±2.243,1.9±2.138,0.1±0.3,0.05±0.218,0.09±0.286,0.08±0.271,0.1±0.3,0.06±0.237
