360.99±197.764,373.24±218.206,393.67±274.615,421.899±370.585,391.98±338.563,341.364±265.535,0.3±0.48,0.42±0.494,0.4±0.49,0.63±0.503,0.71±0.475,0.8±0.424,0.03±0.171,0.0±0.0,0.0±0.0,0.01±0.099,0.01±0.099,0.01±0.099
412.92±166.559,470.33±258.676,497.505±312.531,570.94±396.877,606.561±395.427,533.096±419.661,0.09±0.286,0.19±0.392,0.3±0.458,0.31±0.462,0.48±0.5,0.6±0.49,0.0±0.0,0.0±0.0,0.01±0.099,0.0±0.0,0.02±0.14,0.06±0.237
352.67±127.948,369.22±199.157,378.55±239.058,392.02±329.197,405.52±309.507,354.918±240.997,0.23±0.421,0.34±0.474,0.42±0.494,0.65±0.477,0.71±0.475,0.76±0.45,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.099,0.0±0.0,0.02±0.14
372.688±253.157,345.479±214.436,314.93±216.315,322.1±205.606,289.837±154.403,278.525±146.42,0.34±0.474,0.42±0.494,0.56±0.496,0.69±0.462,0.77±0.421,0.85±0.384,0.04±0.196,0.04±0.196,0.0±0.0,0.0±0.0,0.02±0.14,0.01±0.099
472.948±321.314,447.071±267.23,426.939±262.417,470.704±261.585,523.418±345.857,507.546±416.428,0.13±0.336,0.22±0.414,0.31±0.462,0.35±0.477,0.44±0.496,0.55±0.497,0.03±0.171,0.02±0.14,0.02±0.14,0.02±0.14,0.02±0.14,0.03±0.171
967.014±612.726,806.867±608.92,603.139±576.336,618.961±602.203,551.279±597.815,563.548±597.925,0.39±0.508,0.49±0.5,0.59±0.492,0.65±0.477,0.82±0.384,0.76±0.427,0.28±0.449,0.24±0.427,0.21±0.407,0.24±0.427,0.14±0.347,0.16±0.367
566.531±253.581,630.958±299.485,656.359±367.652,657.5±393.103,660.571±465.451,539.341±412.936,0.06±0.237,0.14±0.347,0.24±0.427,0.34±0.474,0.37±0.483,0.57±0.495,0.02±0.14,0.05±0.218,0.08±0.271,0.08±0.271,0.09±0.286,0.09±0.286
607.723±320.979,619.859±379.861,582.696±406.308,589.196±366.673,631.596±456.975,507.527±419.292,0.08±0.271,0.12±0.325,0.28±0.449,0.33±0.47,0.37±0.483,0.64±0.48,0.06±0.237,0.08±0.271,0.08±0.271,0.08±0.271,0.06±0.237,0.09±0.286
585.384±283.5,661.711±326.883,647.811±380.639,722.576±434.569,730.914±527.782,559.933±462.334,0.05±0.218,0.16±0.367,0.28±0.449,0.37±0.483,0.43±0.495,0.56±0.496,0.01±0.099,0.03±0.171,0.1±0.3,0.08±0.271,0.07±0.255,0.11±0.313
587.677±269.587,638.066±394.11,556.054±358.907,652.495±406.935,639.242±454.623,478.022±383.454,0.1±0.3,0.15±0.357,0.28±0.449,0.36±0.48,0.4±0.49,0.6±0.49,0.04±0.196,0.09±0.286,0.08±0.271,0.07±0.255,0.05±0.218,0.09±0.286
