401.032±202.218,490.674±277.96,428.469±260.721,496.024±368.396,498.301±402.657,411.229±323.023,0.07±0.255,0.12±0.325,0.2±0.4,0.18±0.384,0.24±0.427,0.36±0.48,0.06±0.237,0.14±0.347,0.04±0.196,0.18±0.384,0.27±0.444,0.3±0.458
417.929±218.82,497.978±299.039,493.521±331.382,549.639±359.129,579.865±413.921,543.306±329.688,0.03±0.171,0.1±0.3,0.09±0.286,0.07±0.255,0.18±0.384,0.24±0.427,0.02±0.14,0.11±0.313,0.04±0.196,0.17±0.376,0.26±0.439,0.38±0.485
406.13±222.795,460.621±265.676,441.367±281.869,488.422±383.234,486.378±387.735,395.478±278.436,0.06±0.237,0.09±0.286,0.16±0.367,0.21±0.407,0.27±0.466,0.31±0.462,0.0±0.0,0.13±0.336,0.02±0.14,0.17±0.376,0.26±0.439,0.33±0.47
394.478±199.846,451.951±371.89,418.619±311.756,382.928±301.199,395.5±315.883,310.648±173.786,0.16±0.367,0.35±0.477,0.29±0.454,0.4±0.49,0.39±0.488,0.55±0.497,0.1±0.3,0.19±0.392,0.16±0.367,0.17±0.376,0.28±0.449,0.29±0.454
447.209±227.049,517.803±343.936,450.638±265.06,516.278±373.284,493.085±332.354,493.883±297.283,0.05±0.218,0.11±0.313,0.13±0.336,0.13±0.336,0.15±0.357,0.25±0.433,0.09±0.286,0.24±0.427,0.2±0.4,0.28±0.449,0.41±0.492,0.4±0.49
800.367±569.479,752.656±577.088,754.492±618.049,656.771±559.432,796.698±652.293,811.06±667.372,0.29±0.454,0.4±0.49,0.39±0.488,0.5±0.5,0.43±0.495,0.49±0.5,0.4±0.49,0.36±0.48,0.37±0.483,0.3±0.458,0.37±0.483,0.33±0.47
549.01±294.68,611.044±352.936,663.109±369.281,726.807±427.449,744.725±446.922,736.721±474.663,0.04±0.196,0.09±0.286,0.11±0.313,0.14±0.347,0.15±0.357,0.19±0.392,0.03±0.171,0.1±0.3,0.08±0.271,0.17±0.376,0.2±0.4,0.32±0.466
543.157±267.159,615.395±365.541,580.819±292.177,689.467±421.374,662.346±409.277,663.695±445.323,0.07±0.255,0.12±0.325,0.11±0.313,0.17±0.376,0.24±0.427,0.26±0.439,0.17±0.376,0.19±0.392,0.17±0.376,0.25±0.433,0.22±0.414,0.41±0.492
519.588±270.9,623.89±361.582,671.043±352.729,739.22±460.73,716.09±428.546,794.464±528.644,0.05±0.218,0.06±0.237,0.11±0.313,0.16±0.367,0.17±0.376,0.2±0.4,0.03±0.171,0.09±0.286,0.06±0.237,0.18±0.384,0.22±0.414,0.31±0.462
546.0±276.778,656.79±410.193,601.646±345.827,755.975±494.315,711.64±450.362,676.417±423.347,0.05±0.218,0.1±0.3,0.07±0.255,0.17±0.376,0.2±0.4,0.21±0.407,0.16±0.367,0.19±0.392,0.18±0.384,0.21±0.407,0.25±0.433,0.4±0.49
