396.65±156.752,422.06±168.802,458.91±218.314,478.49±189.571,532.61±252.169,570.12±256.225,0.05±0.218,0.06±0.237,0.06±0.237,0.09±0.319,0.26±0.642,0.28±0.601,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
405.01±147.121,441.97±195.006,469.47±214.022,511.93±231.38,542.95±253.36,637.44±304.249,0.04±0.242,0.04±0.242,0.03±0.171,0.06±0.237,0.21±0.516,0.3±0.608,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
531.73±288.717,584.42±271.709,662.255±277.272,729.082±281.198,812.888±384.905,866.596±346.413,0.03±0.171,0.07±0.292,0.1±0.332,0.1±0.332,0.12±0.354,0.31±0.628,0.0±0.0,0.0±0.0,0.02±0.14,0.03±0.171,0.02±0.14,0.06±0.237
808.341±379.934,989.278±425.679,972.5±379.113,1044.524±396.249,1031.962±448.664,1111.692±429.521,0.05±0.26,0.04±0.242,0.04±0.242,0.03±0.171,0.11±0.343,0.11±0.371,0.15±0.357,0.21±0.407,0.3±0.458,0.37±0.483,0.47±0.499,0.61±0.488
366.84±136.101,386.64±170.795,377.62±135.824,433.72±205.935,421.07±177.899,474.53±228.275,0.22±0.46,0.28±0.492,0.4±0.632,0.44±0.683,0.5±0.671,0.59±0.736,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
376.3±136.022,375.75±119.464,396.43±170.466,450.77±203.052,472.99±216.295,493.23±234.923,0.19±0.44,0.25±0.536,0.37±0.627,0.41±0.68,0.68±0.989,0.63±0.924,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
387.63±132.019,430.2±194.939,479.81±230.493,507.09±247.633,518.64±272.885,568.91±276.845,0.0±0.0,0.11±0.488,0.2±0.447,0.34±0.724,0.48±0.866,0.53±0.921,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
450.11±217.447,473.1±219.452,543.28±268.077,560.667±269.982,563.74±277.166,713.01±348.386,0.11±0.371,0.09±0.349,0.14±0.448,0.26±0.594,0.37±0.716,0.48±0.889,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.099,0.0±0.0,0.0±0.0
