483.0±302.,503.7±363.,671.1±368.,736.2±377.,0.1±0.3,0.2±0.5,0.2±0.4,0.2±0.6,0.0±0.1,0.0±0.1,0.0±0.2,0.1±0.3
342.4±236.,386.0±258.,432.4±245.,572.7±350.,0.0±0.2,0.1±0.4,0.2±0.5,0.3±0.6,0.0±0.1,0.0±0.1,0.0±0.1,0.0±0.1
591.8±359.,592.4±437.,834.1±431.,779.6±383.,0.1±0.3,0.1±0.3,0.2±0.6,0.3±0.7,0.0±0.0,0.1±0.3,0.1±0.3,0.1±0.3
604.8±377.,600.0±448.,769.2±351.,773.1±371.,0.1±0.5,0.1±0.4,0.2±0.5,0.3±0.8,0.0±0.2,0.1±0.3,0.1±0.3,0.1±0.3
483.0±302.,503.7±363.,671.1±368.,736.2±377.,0.1±0.3,0.2±0.5,0.2±0.4,0.2±0.6,0.0±0.1,0.0±0.1,0.0±0.2,0.1±0.3
497.8±289.,503.9±341.,679.1±343.,788.3±403.,0.1±0.4,0.0±0.2,0.2±0.7,0.3±0.8,0.0±0.1,0.0±0.1,0.0±0.2,0.1±0.3
557.9±323.,643.0±447.,791.5±406.,843.0±370.,0.1±0.3,0.1±0.3,0.2±0.5,0.3±0.9,0.0±0.0,0.0±0.2,0.2±0.4,0.2±0.4
