366.876±160.302,403.58±151.972,468.81±249.112,539.333±253.544,573.222±293.404,671.667±346.824,0.31±0.56,0.5±0.742,0.67±0.98,1.07±1.142,1.29±1.416,1.62±1.302,0.03±0.171,0.0±0.0,0.0±0.0,0.01±0.099,0.01±0.099,0.01±0.099
516.99±262.244,583.667±331.962,695.277±355.92,851.198±464.69,949.0±474.229,940.938±474.693,0.13±0.523,0.24±0.602,0.5±0.964,0.67±1.068,1.15±1.545,1.33±1.892,0.0±0.0,0.01±0.099,0.06±0.237,0.09±0.286,0.23±0.421,0.35±0.477
375.64±121.898,434.6±187.491,510.17±253.021,617.889±302.206,689.0±326.417,819.646±358.023,0.18±0.536,0.54±0.877,1.0±1.378,1.36±1.814,2.31±2.69,2.71±2.624,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.099,0.01±0.099,0.04±0.196
399.378±203.558,408.2±185.199,415.79±175.889,449.0±195.934,535.47±323.732,575.84±308.696,0.28±0.567,0.61±0.871,1.05±1.322,1.46±1.676,2.6±2.561,3.11±2.698,0.02±0.14,0.0±0.0,0.0±0.0,0.01±0.099,0.0±0.0,0.0±0.0
544.333±290.915,593.337±335.42,671.134±362.033,737.872±385.961,888.37±415.563,865.556±416.801,0.12±0.515,0.3±0.728,0.46±0.818,0.72±1.289,0.92±1.44,1.23±1.63,0.01±0.099,0.02±0.14,0.03±0.171,0.06±0.237,0.19±0.392,0.28±0.449
377.18±132.611,427.56±167.293,499.72±258.542,613.79±326.142,663.378±362.192,760.948±394.414,0.11±0.422,0.21±0.535,0.38±0.732,0.72±1.123,0.89±1.048,0.96±1.076,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.02±0.14,0.03±0.171
373.44±137.592,397.64±150.609,409.52±198.396,439.44±187.845,464.63±257.696,496.31±256.365,0.12±0.475,0.2±0.529,0.47±0.854,0.65±0.953,0.6±0.872,0.83±1.068,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
354.19±97.501,388.29±144.615,395.55±157.184,415.02±154.003,450.33±223.522,483.0±266.772,0.12±0.407,0.21±0.588,0.42±0.839,0.66±0.94,0.66±0.93,0.87±1.064,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
349.46±97.037,374.32±132.405,360.46±123.504,373.88±136.317,393.57±173.358,380.48±159.988,0.46±0.67,0.99±1.063,1.11±1.216,1.8±1.649,2.36±1.937,2.21±2.113,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
497.143±239.281,534.556±310.264,588.889±316.982,600.711±326.183,733.824±418.519,741.905±415.959,0.15±0.572,0.28±0.708,0.61±1.207,0.66±1.088,0.96±1.28,1.3±1.792,0.02±0.14,0.01±0.099,0.01±0.099,0.03±0.171,0.09±0.286,0.05±0.218
795.522±431.774,783.667±512.181,873.077±495.776,883.151±522.721,675.824±353.707,696.4±422.904,0.12±0.496,0.21±0.496,0.57±1.134,0.61±1.029,0.78±1.136,1.18±1.746,0.1±0.3,0.25±0.433,0.35±0.477,0.47±0.499,0.66±0.474,0.75±0.433
468.81±229.293,509.333±287.023,562.918±313.867,543.326±279.394,702.663±388.007,713.154±398.565,0.17±0.749,0.19±0.674,0.52±0.911,0.64±1.196,0.96±1.509,1.52±2.032,0.0±0.0,0.01±0.099,0.02±0.14,0.05±0.218,0.02±0.14,0.09±0.286
695.312±414.63,739.274±465.998,744.622±446.42,706.235±384.764,810.462±470.952,699.0±430.236,0.03±0.171,0.1±0.412,0.39±0.926,0.46±0.953,0.8±1.371,1.17±1.562,0.07±0.255,0.16±0.367,0.26±0.439,0.32±0.466,0.48±0.5,0.56±0.496
