531.9±384.,450.2±311.,621.3±363.,654.7±375.,0.1±0.3,0.1±0.6,0.1±0.4,0.3±0.6,0.1±0.3,0.1±0.3,0.1±0.2,0.1±0.3
425.3±296.,423.0±287.,540.4±358.,584.1±307.,0.1±0.4,0.1±0.4,0.2±0.5,0.2±0.6,0.1±0.3,0.0±0.2,0.0±0.2,0.1±0.3
624.4±436.,510.8±329.,714.2±393.,707.8±370.,0.1±0.3,0.1±0.5,0.2±0.5,0.3±0.7,0.2±0.4,0.2±0.4,0.1±0.3,0.2±0.4
357.5±260.,380.7±248.,444.4±251.,551.6±340.,0.1±0.3,0.1±0.4,0.2±0.5,0.2±0.6,0.0±0.2,0.0±0.1,0.0±0.1,0.0±0.1
353.7±272.,383.7±253.,411.8±213.,555.1±357.,0.0±0.3,0.1±0.4,0.2±0.5,0.4±0.9,0.0±0.1,0.0±0.1,0.0±0.1,0.0±0.1
562.0±389.,457.2±275.,696.4±427.,732.1±394.,0.1±0.3,0.0±0.3,0.2±0.5,0.2±0.5,0.1±0.3,0.1±0.3,0.0±0.2,0.1±0.2
666.1±412.,629.4±435.,783.3±445.,837.6±398.,0.1±0.2,0.1±0.4,0.2±0.6,0.3±0.6,0.1±0.2,0.1±0.3,0.2±0.4,0.2±0.4
