385.2±313.,343.7±329.,395.6±279.,414.4±333.,0.0±0.0,0.0±0.1,0.0±0.1,0.0±0.0,0.2±0.4,0.3±0.5,0.3±0.4,0.4±0.5
330.2±227.,266.5±122.,365.5±229.,333.6±215.,0.0±0.1,0.0±0.1,0.0±0.1,0.0±0.0,0.2±0.4,0.2±0.4,0.2±0.4,0.2±0.4
464.1±365.,467.5±454.,475.1±313.,530.8±505.,0.0±0.1,0.0±0.1,0.0±0.2,0.0±0.1,0.3±0.5,0.4±0.5,0.4±0.5,0.5±0.5
288.3±199.,254.6±189.,316.9±203.,267.2±155.,0.0±0.1,0.0±0.0,0.0±0.0,0.0±0.0,0.1±0.3,0.1±0.3,0.1±0.3,0.1±0.3
278.9±166.,257.0±192.,285.7±145.,249.9±132.,0.0±0.1,0.0±0.0,0.0±0.1,0.0±0.0,0.0±0.2,0.1±0.3,0.1±0.3,0.1±0.3
398.8±331.,351.8±344.,404.9±277.,397.4±297.,0.0±0.0,0.0±0.1,0.0±0.2,0.0±0.0,0.2±0.4,0.3±0.5,0.3±0.4,0.4±0.5
415.2±328.,357.8±295.,411.2±275.,450.4±328.,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.1,0.2±0.4,0.3±0.5,0.3±0.4,0.4±0.5
