373.5±194.,484.2±310.,596.8±387.,709.3±464.,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.2,0.0±0.2,0.2±0.4,0.1±0.3
296.0±145.,342.9±222.,404.9±302.,445.6±340.,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.2,0.0±0.1,0.0±0.1,0.0±0.0
436.0±255.,534.3±343.,662.1±446.,693.5±445.,0.0±0.0,0.0±0.0,0.0±0.2,0.0±0.0,0.1±0.3,0.2±0.4,0.4±0.5,0.4±0.5
445.7±298.,519.1±323.,660.7±443.,706.0±454.,0.0±0.0,0.0±0.1,0.0±0.1,0.0±0.0,0.1±0.3,0.2±0.4,0.4±0.5,0.4±0.5
373.5±194.,484.2±310.,596.8±387.,709.3±464.,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.2,0.0±0.2,0.2±0.4,0.1±0.3
402.3±243.,535.1±380.,695.4±415.,851.2±473.,0.0±0.0,0.0±0.0,0.0±0.1,0.0±0.0,0.0±0.2,0.0±0.2,0.2±0.4,0.2±0.4
475.1±330.,658.3±404.,847.5±443.,995.5±432.,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.2,0.1±0.3,0.2±0.4,0.2±0.4
