456.36±224.867,494.929±236.317,574.812±306.085,566.387±316.931,643.205±398.098,626.402±391.285,0.05±0.218,0.07±0.255,0.06±0.237,0.08±0.271,0.16±0.367,0.21±0.407,0.0±0.0,0.01±0.099,0.04±0.196,0.07±0.255,0.12±0.325,0.18±0.384
433.66±155.148,486.091±212.786,575.031±311.983,541.289±250.804,586.237±343.339,635.298±395.59,0.05±0.218,0.06±0.237,0.02±0.14,0.08±0.271,0.13±0.336,0.23±0.421,0.0±0.0,0.01±0.099,0.02±0.14,0.03±0.171,0.07±0.255,0.16±0.367
477.0±254.119,488.937±262.482,574.885±377.398,543.174±302.893,569.63±392.49,561.241±344.361,0.03±0.171,0.07±0.255,0.03±0.171,0.08±0.271,0.17±0.376,0.18±0.384,0.15±0.357,0.05±0.218,0.13±0.336,0.08±0.271,0.19±0.392,0.21±0.407
403.98±128.171,439.72±170.397,489.643±221.069,444.202±152.871,512.196±224.245,544.774±293.197,0.05±0.218,0.04±0.196,0.01±0.099,0.05±0.218,0.1±0.332,0.15±0.384,0.0±0.0,0.0±0.0,0.02±0.14,0.01±0.099,0.03±0.171,0.07±0.255
368.39±119.729,382.33±115.049,400.54±150.936,432.8±165.541,406.52±135.496,427.7±158.245,0.05±0.218,0.02±0.14,0.02±0.14,0.11±0.313,0.17±0.376,0.14±0.347,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
