438.198±253.151,448.072±328.579,610.691±326.525,652.731±359.937,721.08±379.42,739.043±406.213,0.08±0.271,0.17±0.47,0.54±1.024,0.63±1.046,1.01±1.64,1.26±1.695,0.04±0.196,0.03±0.171,0.03±0.171,0.07±0.255,0.13±0.336,0.06±0.237
483.0±302.187,503.667±363.42,671.134±368.285,736.237±377.335,800.318±388.878,880.315±360.144,0.06±0.276,0.16±0.504,0.15±0.433,0.25±0.638,0.57±1.116,0.6±0.99,0.01±0.099,0.01±0.099,0.03±0.171,0.07±0.255,0.15±0.357,0.08±0.271
429.111±230.428,452.556±329.74,607.515±321.357,663.812±373.122,757.402±382.513,792.01±339.945,0.18±0.59,0.21±0.516,0.62±1.138,0.75±1.499,1.38±1.953,1.57±1.935,0.01±0.099,0.01±0.099,0.03±0.171,0.04±0.196,0.08±0.271,0.02±0.14
476.697±346.676,395.591±255.929,519.629±282.161,526.653±324.918,616.813±351.525,696.49±318.197,0.18±0.517,0.39±0.733,0.93±1.168,1.01±1.323,1.64±1.792,2.03±2.052,0.11±0.313,0.07±0.255,0.03±0.171,0.05±0.218,0.09±0.286,0.02±0.14
534.578±384.016,434.624±270.418,622.021±350.468,653.617±382.355,717.965±413.812,839.447±360.753,0.07±0.255,0.08±0.337,0.15±0.433,0.26±0.594,0.54±1.153,0.58±0.862,0.1±0.3,0.07±0.255,0.06±0.237,0.06±0.237,0.14±0.347,0.06±0.237
