363.3±179.,458.1±294.,471.9±276.,510.8±334.,0.0±0.2,0.0±0.3,0.1±0.4,0.2±0.5,0.1±0.3,0.0±0.2,0.2±0.4,0.1±0.3
373.5±194.,484.2±310.,596.8±387.,709.3±464.,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.2,0.0±0.2,0.2±0.4,0.1±0.3
356.5±174.,461.7±302.,504.6±320.,572.0±387.,0.0±0.1,0.0±0.3,0.1±0.6,0.3±0.8,0.0±0.2,0.0±0.2,0.2±0.4,0.1±0.3
438.9±350.,449.1±363.,455.7±362.,511.2±395.,0.0±0.2,0.1±0.3,0.2±0.5,0.4±1.0,0.1±0.3,0.1±0.3,0.2±0.4,0.2±0.4
374.4±239.,518.8±424.,533.2±427.,641.1±455.,0.0±0.0,0.0±0.1,0.0±0.0,0.0±0.0,0.2±0.4,0.1±0.3,0.2±0.4,0.2±0.4
