338.308±221.757,331.174±233.362,373.0±229.462,420.536±334.505,446.7±378.78,505.423±397.995,0.0±0.0,0.0±0.0,0.04±0.196,0.01±0.099,0.05±0.26,0.02±0.14,0.09±0.286,0.14±0.347,0.18±0.384,0.16±0.367,0.2±0.4,0.22±0.414
336.104±222.603,342.843±280.4,386.023±259.084,395.388±297.77,464.313±390.953,494.429±393.226,0.0±0.0,0.0±0.0,0.02±0.199,0.0±0.0,0.03±0.222,0.05±0.26,0.04±0.196,0.11±0.313,0.13±0.336,0.15±0.357,0.17±0.376,0.23±0.421
347.295±240.101,344.231±279.019,378.816±248.19,422.31±342.95,454.639±383.914,481.026±375.63,0.02±0.14,0.0±0.0,0.06±0.42,0.01±0.099,0.05±0.26,0.03±0.171,0.05±0.218,0.09±0.286,0.13±0.336,0.13±0.336,0.17±0.376,0.22±0.414
395.147±352.034,342.912±325.896,373.775±252.115,422.413±344.393,535.123±482.919,457.333±404.533,0.02±0.14,0.03±0.171,0.08±0.306,0.03±0.171,0.16±0.484,0.08±0.271,0.25±0.433,0.32±0.466,0.29±0.454,0.37±0.483,0.35±0.477,0.4±0.49
385.158±313.074,344.044±329.913,410.521±290.444,414.422±333.112,498.641±442.42,488.323±414.016,0.0±0.0,0.01±0.099,0.03±0.222,0.0±0.0,0.07±0.354,0.01±0.099,0.24±0.427,0.32±0.466,0.27±0.444,0.36±0.48,0.36±0.48,0.38±0.485
