412.691±193.84,514.57±261.604,582.561±305.559,686.156±377.942,754.84±394.996,776.25±445.861,0.35±0.589,0.56±0.791,0.71±1.061,1.17±1.32,1.49±1.539,1.81±1.521,0.03±0.171,0.0±0.0,0.02±0.14,0.04±0.196,0.06±0.237,0.12±0.325
440.21±195.453,553.29±276.255,616.833±326.327,785.905±418.295,881.322±388.717,927.659±449.574,0.1±0.332,0.24±0.585,0.64±1.315,0.78±1.383,1.01±1.446,1.61±1.849,0.0±0.0,0.0±0.0,0.04±0.196,0.05±0.218,0.1±0.3,0.15±0.357
393.35±130.89,481.35±246.412,526.444±270.582,674.99±333.729,806.849±351.613,805.709±402.818,0.27±0.526,0.5±0.794,0.77±1.165,1.46±1.763,2.26±2.579,2.56±2.609,0.0±0.0,0.0±0.0,0.01±0.099,0.03±0.171,0.07±0.255,0.14±0.347
454.469±301.011,446.411±248.356,453.896±267.373,508.255±267.753,508.16±282.903,670.926±411.024,0.44±0.683,0.7±1.082,1.13±1.376,1.61±1.714,2.17±2.088,3.01±2.655,0.04±0.196,0.05±0.218,0.04±0.196,0.02±0.14,0.06±0.237,0.05±0.218
511.691±329.544,534.371±303.909,557.191±322.635,634.777±289.572,737.315±375.498,900.353±478.3,0.19±0.578,0.32±0.676,0.61±1.224,0.79±1.344,1.0±1.456,1.75±2.188,0.03±0.171,0.03±0.171,0.06±0.237,0.06±0.237,0.08±0.271,0.15±0.357
1285.254±465.542,1321.698±451.599,1103.865±444.904,1275.289±463.84,1130.044±504.074,1283.556±471.147,0.55±0.829,0.8±1.105,0.94±1.139,1.31±1.611,1.63±1.383,1.99±1.972,0.41±0.492,0.47±0.499,0.48±0.5,0.62±0.485,0.55±0.497,0.73±0.444
596.592±292.935,709.484±318.66,811.27±359.161,853.024±395.099,868.0±398.429,948.716±463.556,0.1±0.436,0.23±0.614,0.48±1.034,0.74±1.285,0.76±1.218,1.53±1.769,0.02±0.14,0.05±0.218,0.11±0.313,0.17±0.376,0.19±0.392,0.26±0.439
673.707±395.469,704.088±406.649,742.478±412.124,754.118±374.474,789.059±430.771,976.114±500.749,0.14±0.51,0.2±0.632,0.55±1.195,0.91±1.756,0.89±1.503,1.87±2.057,0.08±0.271,0.09±0.286,0.1±0.3,0.15±0.357,0.15±0.357,0.3±0.458
603.778±293.362,739.705±352.32,814.165±362.009,924.325±415.725,936.785±450.249,960.984±513.661,0.06±0.276,0.2±0.583,0.53±1.072,0.74±1.27,0.78±1.229,1.61±1.86,0.01±0.099,0.05±0.218,0.15±0.357,0.17±0.376,0.21±0.407,0.36±0.48
628.444±326.522,704.5±409.607,757.105±428.397,795.125±409.029,798.118±429.163,934.508±461.631,0.16±0.561,0.16±0.463,0.65±1.291,0.95±1.639,0.92±1.514,1.73±1.938,0.1±0.3,0.12±0.325,0.14±0.347,0.2±0.4,0.15±0.357,0.35±0.477
