338.308±221.757,331.174±233.362,373.0±229.462,420.536±334.505,0.0±0.0,0.0±0.0,0.04±0.196,0.01±0.099,0.09±0.286,0.14±0.347,0.18±0.384,0.16±0.367
336.104±222.603,342.843±280.4,386.023±259.084,395.388±297.77,0.0±0.0,0.0±0.0,0.02±0.199,0.0±0.0,0.04±0.196,0.11±0.313,0.13±0.336,0.15±0.357
347.295±240.101,344.231±279.019,378.816±248.19,422.31±342.95,0.02±0.14,0.0±0.0,0.06±0.42,0.01±0.099,0.05±0.218,0.09±0.286,0.13±0.336,0.13±0.336
395.147±352.034,342.912±325.896,373.775±252.115,422.413±344.393,0.02±0.14,0.03±0.171,0.08±0.306,0.03±0.171,0.25±0.433,0.32±0.466,0.29±0.454,0.37±0.483
385.158±313.074,344.044±329.913,410.521±290.444,414.422±333.112,0.0±0.0,0.01±0.099,0.03±0.222,0.0±0.0,0.24±0.427,0.32±0.466,0.27±0.444,0.36±0.48
