363.33±179.047,458.105±294.544,471.871±276.492,510.756±334.5,470.19±315.786,644.944±470.375,0.03±0.222,0.05±0.26,0.06±0.369,0.19±0.462,0.32±0.631,0.44±0.726,0.09±0.286,0.05±0.218,0.15±0.357,0.14±0.347,0.21±0.407,0.28±0.449
373.458±194.37,484.158±310.305,596.798±387.422,709.267±464.94,779.718±476.197,840.855±449.321,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0,0.01±0.099,0.0±0.0,0.04±0.196,0.05±0.218,0.16±0.367,0.14±0.347,0.22±0.414,0.38±0.485
356.5±174.396,461.688±302.228,504.602±320.509,572.0±387.693,619.427±431.64,758.485±526.523,0.01±0.099,0.05±0.328,0.11±0.646,0.27±0.835,0.58±1.218,0.84±1.804,0.04±0.196,0.04±0.196,0.17±0.376,0.12±0.325,0.18±0.384,0.32±0.466
438.874±350.894,449.135±363.863,455.694±362.647,511.212±395.242,507.037±407.963,681.595±518.806,0.04±0.242,0.09±0.319,0.18±0.498,0.43±1.032,0.65±1.291,0.97±1.609,0.13±0.336,0.11±0.313,0.15±0.357,0.15±0.357,0.19±0.392,0.26±0.439
374.392±239.221,518.782±424.904,533.247±427.114,641.06±455.373,722.988±501.763,789.406±496.873,0.0±0.0,0.01±0.099,0.0±0.0,0.0±0.0,0.02±0.14,0.0±0.0,0.21±0.407,0.13±0.336,0.19±0.392,0.16±0.367,0.18±0.384,0.31±0.462
