400.677±200.563,567.816±399.729,516.0±319.916,684.227±421.998,695.2±487.138,674.0±459.009,0.08±0.306,0.14±0.375,0.12±0.382,0.23±0.598,0.19±0.484,0.32±0.747,0.07±0.255,0.24±0.427,0.14±0.347,0.25±0.433,0.45±0.497,0.56±0.496
391.255±152.205,594.901±396.395,541.544±317.783,643.962±392.004,663.869±443.858,705.292±439.472,0.01±0.099,0.09±0.319,0.07±0.292,0.11±0.313,0.16±0.578,0.21±0.621,0.06±0.237,0.19±0.392,0.1±0.3,0.21±0.407,0.39±0.488,0.52±0.5
388.536±154.128,548.312±374.482,502.899±285.919,664.225±425.396,566.561±371.733,649.467±415.475,0.08±0.337,0.09±0.286,0.14±0.4,0.22±0.558,0.18±0.498,0.32±0.705,0.03±0.171,0.2±0.4,0.11±0.313,0.2±0.4,0.43±0.495,0.55±0.497
430.518±266.267,454.148±295.424,453.162±257.281,487.104±322.51,458.938±222.367,510.622±291.279,0.12±0.354,0.26±0.502,0.32±0.691,0.41±0.68,0.51±1.025,0.62±0.903,0.17±0.376,0.39±0.488,0.2±0.4,0.33±0.47,0.52±0.5,0.55±0.497
449.214±291.002,475.356±277.84,517.714±320.997,538.516±356.284,534.765±308.726,487.757±250.141,0.04±0.242,0.02±0.14,0.07±0.324,0.08±0.306,0.14±0.4,0.16±0.484,0.16±0.367,0.41±0.492,0.23±0.421,0.36±0.48,0.49±0.5,0.63±0.483
1183.92±413.231,1246.447±433.763,1170.211±478.806,1240.69±429.149,1277.558±427.043,1372.465±426.283,0.25±0.497,0.44±0.726,0.36±0.656,0.61±0.811,0.5±0.819,0.55±0.841,0.5±0.5,0.53±0.499,0.62±0.485,0.58±0.494,0.57±0.495,0.57±0.495
