427.3±13.0,441.9±54.0,457.7±41.7,461.7±44.4,0.0±0.2,0.0±0.0,0.1±0.3,0.3±0.5,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
406.0±51.9,581.9±648.,533.2±466.,1136.2±112,0.0±0.0,0.0±0.2,0.1±0.3,0.3±0.5,0.0±0.0,0.1±0.2,0.0±0.2,0.3±0.4
504.9±471.,844.2±965.,865.1±956.,1642.2±127,0.0±0.0,0.0±0.0,0.1±0.2,0.3±0.5,0.0±0.2,0.2±0.4,0.2±0.4,0.5±0.5
387.3±12.4,391.7±14.5,420.7±60.6,423.2±59.8,0.0±0.0,0.1±0.3,0.2±0.4,0.8±0.8,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
412.2±52.4,506.0±466.,847.2±860.,1271.2±990,0.0±0.0,0.0±0.2,0.1±0.4,0.2±0.4,0.0±0.0,0.0±0.2,0.1±0.3,0.2±0.4
