552.7±25.8,570.6±47.6,598.9±61.3,641.0±65.8,0.1±0.2,0.2±0.4,0.8±0.7,1.7±0.5,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
1008.4±153,974.3±354.,949.7±514.,1140.8±432,0.0±0.0,0.0±0.0,0.2±0.5,1.2±0.4,0.0±0.0,0.0±0.0,0.0±0.2,0.0±0.0
920.1±168.,998.9±364.,1293.9±571,1572.4±833,0.0±0.0,0.0±0.0,0.3±0.5,1.3±0.6,0.0±0.0,0.0±0.0,0.1±0.2,0.2±0.4
1008.8±73.,1064.9±159,1184.8±303,1414.7±318,0.3±0.4,0.5±0.6,1.6±2.0,3.5±2.5,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
1057.6±164,1268.0±272,1840.3±379,2070.5±422,0.0±0.2,0.2±0.5,0.8±1.0,1.8±0.8,0.0±0.0,0.0±0.0,0.1±0.2,0.1±0.2
