366.4±82.1,440.8±95.3,455.9±122.,478.2±84.9,0.0±0.0,0.1±0.2,0.0±0.0,0.2±0.4,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
809.3±116.,1111.2±775,993.1±857.,1243.4±928,0.0±0.0,0.0±0.0,0.1±0.4,0.3±0.6,0.0±0.0,0.1±0.3,0.1±0.3,0.2±0.4
832.4±159.,1017.7±811,1072.0±740,1791.9±103,0.0±0.0,0.0±0.0,0.1±0.4,0.4±0.8,0.0±0.0,0.1±0.3,0.1±0.3,0.4±0.5
803.8±102.,862.9±92.0,862.5±98.2,891.5±91.0,0.0±0.0,0.1±0.2,0.1±0.3,0.3±0.5,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
813.4±118.,936.9±394.,1267.0±718,2057.0±817,0.0±0.0,0.0±0.0,0.0±0.2,0.2±0.5,0.0±0.0,0.0±0.2,0.1±0.3,0.4±0.5
