440.1±20.0,452.6±28.8,470.9±44.8,501.0±62.6,0.1±0.3,0.0±0.2,0.0±0.0,0.4±0.7,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
414.8±32.6,428.4±32.9,718.2±763.,891.2±835.,0.0±0.2,0.1±0.2,0.2±0.4,0.4±0.6,0.0±0.0,0.0±0.0,0.1±0.3,0.1±0.3
433.9±45.4,538.7±458.,1091.6±105,1801.6±119,0.0±0.0,0.0±0.0,0.1±0.2,0.2±0.5,0.0±0.0,0.0±0.2,0.2±0.4,0.5±0.5
399.0±25.6,398.7±21.5,434.6±68.6,553.8±194.,0.1±0.3,0.1±0.3,0.2±0.6,1.0±0.9,0.0±0.0,0.0±0.0,0.0±0.0,0.0±0.0
469.8±102.,487.0±79.6,902.6±741.,1154.5±772,0.0±0.0,0.0±0.0,0.2±0.4,0.3±0.6,0.0±0.0,0.0±0.0,0.1±0.3,0.1±0.3
